File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\v-tianw\projects\redisclient\config.h,35,23,0,0,7,2,5,23,4,10
D:\v-tianw\projects\redisclient\redisasyncclient.h,166,103,34,0,34,1,29,159,4,10
D:\v-tianw\projects\redisclient\redisbuffer.h,70,47,20,2,19,1,4,11,4,10
D:\v-tianw\projects\redisclient\redisclient.h,15,5,1,0,5,1,5,13,4,10
D:\v-tianw\projects\redisclient\redisparser.h,85,59,24,2,22,1,4,11,4,10
D:\v-tianw\projects\redisclient\redissyncclient.h,99,60,19,0,23,1,16,94,4,10
D:\v-tianw\projects\redisclient\redisvalue.h,108,62,39,7,25,1,21,146,4,10
D:\v-tianw\projects\redisclient\version.h,12,4,0,0,4,2,4,12,4,10
D:\v-tianw\projects\redisclient\impl\redisasyncclient.cpp,392,317,167,21,69,1,6,17,4,10
D:\v-tianw\projects\redisclient\impl\redisclientimpl.cpp,328,266,148,24,58,1,4,11,4,10
D:\v-tianw\projects\redisclient\impl\redisparser.cpp,468,415,245,93,46,3,7,23,4,10
D:\v-tianw\projects\redisclient\impl\redissyncclient.cpp,266,223,123,36,39,1,4,11,4,10
D:\v-tianw\projects\redisclient\impl\redisvalue.cpp,151,117,60,21,30,1,4,11,4,10
D:\v-tianw\projects\redisclient\impl\redisclientimpl.h,117,84,48,0,29,1,4,11,4,10
